NODE_ID,NODE_NAME,x,y
"3390105400",교량남측,126.5137394333,34.8731224641
"3390104900",송정교차로,126.5092472081,34.8663375880
"1340130100",거제동산113-3,129.0523882767,35.1843843233
"3100207900",금지교차로,127.3021390893,35.3175622363
"3100208600",금지교차로,127.3018217426,35.3184561084
"3100208900",금지교차로,127.3022478777,35.3185045435
"3100209600",최소노드배치점,127.3022887339,35.3292162944
"3190116800",회전교차로,126.6282627841,35.8006733108
"1370131100",만덕동944-10,129.0350930994,35.2048930090
"3100212400",신평교차로,127.3218106366,35.3545380782
"3100212500",신평교차로,127.3219427612,35.3545363557
"3100214800",송동교차로,127.3342764345,35.3746602726
"3000184700",원당교차로,126.6417042108,36.9033124934
"3000186100",원당교차로,126.6453142066,36.9037906194
"3000197000",가학교차로,126.6966498866,36.9111533110
"3000199500",부곡교차로,126.6893682916,36.9182093241
"3000201600",송산교차로,126.6814472001,36.9298936089
"3000204800",무수교차로,126.6815595649,36.9499805325
"3000205100",무수교차로,126.6811477856,36.9503792551
"4140102500",덕천교차로,128.6891593693,35.2827670681
"4140099800",용잠교차로,128.6824028091,35.2840335271
"3390109700",교량남측,126.5465863990,34.8596314494
"3110131400",남북6교차로,126.5992216722,35.8494832784
"3190106000",수조IC,126.6067521536,35.7197056086
"3190107200",남북1교차로,126.6050070043,35.7278496835
"3190112600",남북3교차로,126.6237354672,35.7764571848
"3190111200",최소노드배치점,126.5862877417,35.7877077350
"3070200800",오식도동입구,126.5877903666,35.9461839862
"1610142400",운북동583-12,126.5220127069,37.5047426376
"2330542200",중송리387-2,126.6979550199,37.2126890685
"2330548500",중송리573-3,126.6999021267,37.2195392409
"2330545000",중송리576-3,126.6988241169,37.2150523232
"2330545100",중송리595,126.6989528242,37.2149507555
"2330541400",지화리696,126.6926941227,37.2150805035
"2330541200",지화리684-8,126.6914917420,37.2152576881
"1390040800",국민체육센터삼거리,128.9992263931,35.0890159986
"3170092500",안정리산332,127.1317771960,35.4727367410
"3390102100",용산리1283-10,126.5045962098,34.8515967202
"3910184000",봉산리1700-1,128.5056177772,35.4553994855
"3000208800",송악TG,126.7853848725,36.9346132720
"3000194600",가마못교차로,126.7026827443,36.8992985088
"3000194300",가마못교차로,126.7028902354,36.8989083408
"3390100200",소지교차로,126.5017818428,34.8433421034
"3390102200",청룡교차로,126.5052592764,34.8516849501
"3390101700",교량남측,126.5044661209,34.8474209869
"3390119500",덕암천교남측,126.5336103418,34.9676780315
"2730172300",무도리413-6,128.2521011761,37.1749961368
"2730170500",도화리284-3,128.2433159951,37.1790724537
"2730170700",무도리443-8,128.2469555106,37.1775601041
"3000206500",가곡리386-45,126.6710556180,36.9769708350
"3000182700",초락도리505-47,126.4884882636,37.0099634029
"1390039400",감천동763-37,128.9969090374,35.0864832589
"3390109300",복룡리2645-9,126.5470750148,34.8542368461
"3390105900",복룡리2021-1,126.5378710526,34.8563941366
"3390105100",산정리1255-8,126.5095314893,34.8672454868
"3390110400",당호리746-17,126.5256394326,34.8842807855
"3390117600",내리587-6,126.4934286386,34.9462822051
"1420014800",거제동산113-3,129.0524203190,35.1852717830
"3000211800",대촌교차로,126.5893991743,36.9374976887
"3000216300",아찬교차로,126.7532526429,36.8542182303
